abandon , v , "छोड्नु, त्याग्नु"
able , v , "सक्नु"
accept , v , "अपनाउनु, स्विकार गर्नु​"
accomplish , v , "​​पुर्ण गर्नु, पुरा गर्नु"
according , v , "अनुसार​, बमोजिम​, माफिक​"
account-book , n , "श्रेस्ता, बही"
acknowledge , v , "मान्नु, स्विकार गर्नु, प्राप्ति, सुचना दिनु"
act , n , "कार्य​, काम​ / **Law** = (n) ऐन​"
actions , n , "कार्बाही, काम कार्य​, नालिश​"
activities , n , "चहलपहल, हलचल​"
add , v , "जोडनु, थप्नु"
addition , n , "जोड, थप"
adjust , v , "मिलाउनु"
administration , n , "ब्यबस्था, प्र्शासन​"
admit , v , "मान्नु, भर्नाहुनु, स्बिकार गर्नु"
admit in , v , "भर्ना गर्नु"
advance , n , "पेश्की, बैना"
advantage , n , "लाभ, फाईदा"
adversary , n , "बिरोधी"
advertisement , n , "बिज्ञापन​"
advice , n , "सल्लाह"
advise , v , "सल्लाह दिनु"
aerogram , n , "हवाईपत्र"
afternoon , n , "दिउसो"
agree , v , "मान्नु"
agreement , n , "मेल​, सहमत​"
agriculture , n , "क्रिषि"
aim , n , "लक्ष्य​, उदेश्य​"
air , n , "हावा"
airplane , n , "हवाईजहाज​"
alcohol , n , "रकसी"
allocate , v , "तोक्नु, स्थापन गर्नु"
amaze , v , "आश्चर्य लाग्नु, अचम्म मान्नु"
ambassador , n , "राजदुत​"
amendment , n , "संशोधन​"
amount , n , "रकम, जम्मा, स्पष्टि"
animal , n , "पशु , जन्तु, जनावर"
animal husbandry , n , "पशु पालन"
answer , n , "जबाफ, उत्तर​"
anthropology , n , "मानव शाब, शास्व​, नरदेह बिज्ञान​, न्रीबिज्ञान​"
apartment , n , "डेरा"
appearance , n , "रुप​, आकार, अनुहार​"
apple , n , "स्याउ"
appoint , v , "खटाउनु, तोक्नु, नियुक्ति गर्नु"
approval , n , "अनुमति, अनुमोदन​, स्वीक्रित​"
arch , n , "गुमज​"
archway , n , "गुमज​"
area , n , "इलाका, क्षेत्र"
arena , n , "अखडा, कार्य क्षेत्र, रड्णभुमी"
argument , n , "बिबाद​, बहस​"
army , n , "सेना, सैनिक​"
arrange , v , "थमलाउनु, ऐठक ठाक पा"
arrangement , n , "बन्दोब्स्त​, ब्यब्स्था, प्र्बन्ध​"
arrive , v , "आईपुग्नु, आगमन​"
ash , n , "खरानी"
ask , v , "सोध्नु, माग्नु"
assembly , n , "सभा, जन समुदाय​"
assistance , n , "सघाई, सहायता, सहयोग"
assistant , n , "सहायक, सहयोगी"
assume , v , "ठान्नु, धारण गर्नु"
astrologer , n , "ज्योतिषी"
atmosphere , n , "परिस्थिति, बाताबरण, वायु मण्डल​"
attach , v , "नथ्थी गर्नु, जोड्नु, गाभ्नु"
attack , v , "जाई लाग्नु, जोड्नु, गाभ्नु"
attempt , n , "प्र्यत्न​, कोशिश​"
authority , n , "अअधिकार​, प्राधिकार्, प्र्भुत्व​"
authorization , n , "अधिकार​"
available , v , "पाईनु"
back , n , "पछाडि"
bag , n , "झोला, थैलो"
bamboo , n , "बाँस"
bamboo shoot , n , "तामा"
ban , n , "मनाही, मनाई, प्र्तिबन्ध​"
banana , n , "कराे"
base , n , "आधार, मुल​, जग"
basis , n , "आधार, मुल​, जग"
bask , v , "ताप्नु, सेक्नु"
bathe , v , "नुहाउनु"
bath , v , "नुहाउनु"
bazaar , n , "बजार"
